Gene,WT_BG_D1 Replicate 1,WT_BG_D1 Replicate 2,WT_BG_D1 Replicate 3,mean
Synpcc7942_0001,899.1099379,1013.865387,1024.585084,979.1868029
Synpcc7942_0002,268.8926917,259.2415294,244.0177902,257.3840038
Synpcc7942_0003,1768.34291,1924.205279,1827.599117,1840.049102
Synpcc7942_0004,2628.23933,3322.227256,3190.333483,3046.933357
Synpcc7942_0005,82.1616558,79.56918229,71.68475143,77.80519651
Synpcc7942_0006,21.47406913,18.82281732,30.41171273,23.56953306
Synpcc7942_0007,92.43186277,74.43568666,91.23513818,86.03422921
Synpcc7942_0008,79.36069026,97.536417,85.442431,87.44651275
Synpcc7942_0009,765.5972472,998.4649004,1068.754476,944.2722078
Synpcc7942_0010,451.8891069,495.3823285,432.2807738,459.8507364
Synpcc7942_0011,207.2714499,154.004869,173.0571272,178.1111487
Synpcc7942_0012,1114.784284,1190.115404,999.966078,1101.621922
Synpcc7942_0013,3221.110369,4419.939739,5168.542987,4269.864365
Synpcc7942_0014,154.9867598,150.5825385,115.1300553,140.2331179
Synpcc7942_0015,40.14717272,34.22330421,30.41171273,34.92739655
Synpcc7942_0016,132.5790355,159.1383646,140.4731493,144.0635164
Synpcc7942_0017,22.40772431,16.2560695,19.55038675,19.40472685
Synpcc7942_0018,564.8613836,734.9454579,836.3221,712.0429805
Synpcc7942_0019,450.0217965,521.9053892,466.3129285,479.4133714
Synpcc7942_0020,41.0808279,31.6565564,37.65259671,36.79666034
Synpcc7942_0021,58.82027631,56.46845195,52.13436468,55.80769765
Synpcc7942_0022,294.1013816,331.9660509,320.047072,315.3715015
Synpcc7942_0023,290.3667608,373.0340159,394.6281771,352.6763179
Synpcc7942_0024,255.8215192,177.9611819,144.8176797,192.8667936
Synpcc7942_0025,467.7612449,413.2463984,365.6646411,415.5574281
Synpcc7942_0026,181.1291048,174.5388515,207.8133703,187.8271089
Synpcc7942_0027,69.09048329,97.536417,66.61613264,77.74767764
Synpcc7942_0028,23.34137949,34.22330421,36.92850831,31.49773067
Synpcc7942_0029,23.34137949,22.24514774,24.61900554,23.40184426
Synpcc7942_0030,100.8347594,91.54733877,60.82342546,84.4018412
Synpcc7942_0031,126.9771044,149.7269559,106.4409945,127.7150183
Synpcc7942_0032,64.42220739,53.04612153,41.2730387,52.91378921
Synpcc7942_0033,90.56455242,61.60194758,55.75480667,69.30710222
Synpcc7942_0034,0,0.855582605,2.172265195,1.0092826
Synpcc7942_0035,84.02896616,80.4247649,47.06574589,70.50649231
Synpcc7942_0036,82.1616558,83.84709532,102.0964642,89.36840509
Synpcc7942_0037,38.27986236,42.77913026,44.1693923,41.74279497
Synpcc7942_0038,147.5175184,86.41384313,98.47602217,110.8024612
Synpcc7942_0039,941.124421,780.291336,677.0226524,799.4794698
Synpcc7942_0040,180.1954497,156.5716168,152.782652,163.1832395
Synpcc7942_0041,179.2617945,207.9065731,234.604641,207.2576695
Synpcc7942_0042,3003.568713,2958.604649,3006.41503,2989.529464
Synpcc7942_0043,40.14717272,43.63471287,49.96209948,44.58132836
Synpcc7942_0044,213.8070361,220.7403122,287.4630941,240.6701475
Synpcc7942_0045,100.8347594,97.536417,89.06287299,95.81134979
Synpcc7942_0046,1769.276565,1818.968619,1537.23967,1708.494951
Synpcc7942_0047,745.9904884,882.9612487,763.1891718,797.380303
