JGI ID,7942 ID,Start,End,Strand,Mean RNA Seq over ORF
637798406,Synpcc7942_0001,65,1237,1,20.02728048
637798407,Synpcc7942_0002,1262,2134,1,6.840778923
637798408,Synpcc7942_0003,2178,4511,1,14.31405313
637798409,Synpcc7942_0004,4596,6077,1,33.61875843
637798410,Synpcc7942_0005,6111,7706,0,3.380325815
637798411,Synpcc7942_0006,7779,8192,0,4.086956522
637798412,Synpcc7942_0007,8189,8539,0,11.97720798
637798413,Synpcc7942_0008,8536,8859,0,26.75308642
637798414,Synpcc7942_0009,8964,10166,1,10.85369909
637798415,Synpcc7942_0010,10252,10878,0,21.28867624
637798416,Synpcc7942_0011,10998,11474,0,13.25786164
637798417,Synpcc7942_0012,11641,11964,0,59.16358025
637798418,Synpcc7942_0013,12321,13028,1,8.175141243
637798419,Synpcc7942_0014,13067,13411,0,12.64637681
637798420,Synpcc7942_0015,13577,14248,0,2.242559524
637798421,Synpcc7942_0016,15020,15604,1,3.846153846
637798422,Synpcc7942_0017,15630,16193,0,1.012411348
637798423,Synpcc7942_0018,16206,18392,0,8.409693644
637798424,Synpcc7942_0019,18615,20489,1,11.67786667
637798425,Synpcc7942_0020,20490,21092,1,7.543946932
637798426,Synpcc7942_0021,21134,21874,0,3.515519568
637798427,Synpcc7942_0022,21880,23049,0,4.652991453
637798428,Synpcc7942_0023,23057,24121,0,6.546478873
637798429,Synpcc7942_0024,24181,25371,0,2.516372796
637798430,Synpcc7942_0025,25416,27122,1,5.052724077
637798431,Synpcc7942_0026,27082,28059,0,6.343558282
637798432,Synpcc7942_0027,28184,29350,1,2.277634961
637798433,Synpcc7942_0028,29347,30015,1,1.324364723
637798434,Synpcc7942_0029,30012,30833,1,1.436739659
637798435,Synpcc7942_0030,30839,31471,1,4.52764613
637798436,Synpcc7942_0031,31464,32738,1,2.718431373
637798437,Synpcc7942_0032,32849,33202,0,3.644067797
637798438,Synpcc7942_0033,33174,33506,0,4.591591592
637798439,Synpcc7942_0034,33685,33798,1,0.429824561
637798440,Synpcc7942_0035,34357,35115,0,1.727272727
637798441,Synpcc7942_0036,35341,36126,1,2.201017812
637798442,Synpcc7942_0037,36123,36326,0,4.774509804
637798443,Synpcc7942_0038,36479,36955,1,6.767295597
637798444,Synpcc7942_0039,37130,38545,1,18.78248588
637798445,Synpcc7942_0040,38630,39007,1,9.851851852
637798446,Synpcc7942_0041,39441,40745,1,2.468965517
637798448,Synpcc7942_0042,40855,41091,0,77.85654008
637798449,Synpcc7942_0043,41131,41496,0,2.868852459
637798450,Synpcc7942_0044,41495,43477,1,3.213817448
637798451,Synpcc7942_0045,43572,44927,1,1.872418879
637798452,Synpcc7942_0046,45164,46507,1,15.40699405
637798453,Synpcc7942_0047,46515,48881,1,6.331220955
637798454,Synpcc7942_0048,48927,49361,0,79.42988506
637798455,Synpcc7942_0049,49550,49984,0,109.9310345
637798456,Synpcc7942_0050,50070,52616,1,14.08009423
637798457,Synpcc7942_0051,52606,54507,0,5.374868559
637798458,Synpcc7942_0052,54512,55030,0,6.699421965
637798459,Synpcc7942_0053,55204,56352,0,3.137510879
637798460,Synpcc7942_0054,56423,57190,0,7.313802083
637798461,Synpcc7942_0055,57223,57906,0,11.39035088
637798462,Synpcc7942_0056,57941,59068,0,4.183510638
637798463,Synpcc7942_0057,59072,60304,0,3.891321979
637798464,Synpcc7942_0058,60301,60846,0,5.63003663
637798465,Synpcc7942_0059,60867,61112,0,14.11788618
637798466,Synpcc7942_0060,61091,61369,0,14.62365591
637798467,Synpcc7942_0061,61366,62472,0,3.682926829
637798468,Synpcc7942_0062,62469,63242,0,6.714470284
637798469,Synpcc7942_0063,64266,64706,0,0.290249433
637798470,Synpcc7942_0064,64703,64870,0,1.06547619
637798471,Synpcc7942_0065,64987,65541,0,61.33693694
637798472,Synpcc7942_0066,65658,67172,0,2.572937294
