Scaffold,Transcription Start,Strand,Name,Gene,Product
NC_007604,65,+,-,Synpcc7942_0001,DNA polymerase III subunit beta
NC_007604,1262,+,-,Synpcc7942_0002,hypothetical protein
NC_007604,2173,+,-,Synpcc7942_0003,phosphoribosylformylglycinamidine synthase II
NC_007604,4596,+,-,Synpcc7942_0004,amidophosphoribosyltransferase
NC_007604,7706,-,-,Synpcc7942_0005,hypothetical protein
NC_007604,8192,-,-,Synpcc7942_0006,hypothetical protein
NC_007604,8539,-,-,Synpcc7942_0007,hypothetical protein
NC_007604,8859,-,-,Synpcc7942_0008,hypothetical protein
NC_007604,8964,+,-,Synpcc7942_0009,argininosuccinate synthase
NC_007604,10878,-,-,Synpcc7942_0010,hypothetical protein
NC_007604,11474,-,-,Synpcc7942_0011,hypothetical protein
NC_007604,11989,-,rpsF,Synpcc7942_0012,30S ribosomal protein S6
NC_007604,12321,+,-,Synpcc7942_0013,hypothetical protein
NC_007604,13411,-,-,Synpcc7942_0014,hypothetical protein
NC_007604,14248,-,-,Synpcc7942_0015,hydroxylase
NC_007604,15020,+,-,Synpcc7942_0016,hypothetical protein
NC_007604,16193,-,-,Synpcc7942_0017,keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase
NC_007604,18392,-,glyS,Synpcc7942_0018,glycyl-tRNA synthetase subunit beta
NC_007604,18615,+,-,Synpcc7942_0019,sulfite reductase subunit beta
NC_007604,20490,+,-,Synpcc7942_0020,hypothetical protein
NC_007604,21874,-,-,Synpcc7942_0021,cobalt-precorrin-6x reductase
NC_007604,23049,-,-,Synpcc7942_0022,hypothetical protein
NC_007604,24121,-,-,Synpcc7942_0023,calcium/proton exchanger
NC_007604,25371,-,-,Synpcc7942_0024,hypothetical protein
NC_007604,25416,+,-,Synpcc7942_0025,hypothetical protein
NC_007604,28059,-,-,Synpcc7942_0026,hypothetical protein
NC_007604,28184,+,-,Synpcc7942_0027,8-amino-7-oxononanoate synthase
NC_007604,29347,+,-,Synpcc7942_0028,hypothetical protein
NC_007604,30012,+,-,Synpcc7942_0029,hypothetical protein
NC_007604,30834,+,-,Synpcc7942_0030,dethiobiotin synthase
NC_007604,31464,+,-,Synpcc7942_0031,aminotransferase
NC_007604,33202,-,-,Synpcc7942_0032,hypothetical protein
NC_007604,33506,-,-,Synpcc7942_0033,hypothetical protein
NC_007604,33685,+,-,Synpcc7942_0034,N-acetylornithine aminotransferase
NC_007604,35115,-,-,Synpcc7942_0035,hypothetical protein
NC_007604,35341,+,-,Synpcc7942_0036,hypothetical protein
NC_007604,36326,-,-,Synpcc7942_0037,hypothetical protein
NC_007604,36479,+,-,Synpcc7942_0038,mutator MutT protein
NC_007604,37130,+,-,Synpcc7942_0039,6-phosphogluconate dehydrogenase
NC_007604,38630,+,-,Synpcc7942_0040,dihydroneopterin aldolase dihydroneopterin aldolase
NC_007604,39441,+,-,Synpcc7942_0041,transport protein
NC_007604,41091,-,rpmB,Synpcc7942_0042,50S ribosomal protein L28
NC_007604,41496,-,-,Synpcc7942_0043,hypothetical protein
NC_007604,41495,+,-,Synpcc7942_0044,hypothetical protein
NC_007604,43572,+,-,Synpcc7942_0045,TPR repeat-containing protein
NC_007604,45164,+,-,Synpcc7942_0046,ubiquinone/menaquinone biosynthesis methylase-like protein
NC_007604,46515,+,-,Synpcc7942_0047,TPR repeat-containing protein
NC_007604,49361,-,-,Synpcc7942_0048,pilin polypeptide PilA-like protein
NC_007604,49984,-,-,Synpcc7942_0049,pilin polypeptide PilA-like protein
NC_007604,50024,+,-,Synpcc7942_0050,hypothetical protein
NC_007604,54507,-,-,Synpcc7942_0051,TPR repeat-containing protein
NC_007604,55030,-,-,Synpcc7942_0052,hypothetical protein
NC_007604,56352,-,-,Synpcc7942_0053,hypothetical protein
NC_007604,57190,-,-,Synpcc7942_0054,hypothetical protein
NC_007604,57908,-,-,Synpcc7942_0055,hypothetical protein
NC_007604,59071,-,-,Synpcc7942_0056,perosamine synthetase
NC_007604,60304,-,-,Synpcc7942_0057,C-3 methyl transferase
NC_007604,60846,-,-,Synpcc7942_0058,"dTDP-4-dehydrorhamnose 3,5-epimerase"
NC_007604,61112,-,-,Synpcc7942_0059,hypothetical protein
NC_007604,61369,-,-,Synpcc7942_0060,hypothetical protein
NC_007604,62472,-,-,Synpcc7942_0061,"CDP-glucose 4,6-dehydratase"
